Year,Quarter,15-30,31-50,51-70,71+,Total
2014,III,142.1,206.9,100.1,8.6,457.8
2014,IV,80.4,135.9,66.3,5.5,288.1
2015,I,71.2,113.9,50.2,2.7,238
2015,II,85.8,138,72,5.6,301.3
2015,III,156.3,222.5,112,8.7,499.6
2015,IV,83.5,141.8,73.5,5.7,304.4
2016,I,74.4,117.1,52.3,2.7,246.5
2016,II,90.5,148.3,79.4,6.3,324.4
2016,III,159.3,233.2,118.5,9.3,520.3
2016,IV,82.7,144.5,76.7,5.4,309.2
2017,I,83.4,135.3,61.1,3,283
2017,II,106.4,178,95.9,7.3,387.7
2017,III,197,296.3,153.4,11.7,658.4
2017,IV,98.6,177.2,94.6,6.7,377.1
2018,I,99.8,164.3,73.7,3.8,341.7
2018,II,121.7,205.6,111.2,10,448.5
2018,III,213.6,327.2,170.7,13.7,725.3
2018,IV,102.5,190,101.3,8,401.9
2019,I,99.2,168.5,75.6,4.2,347.6
2019,II,133.7,234.3,126.3,12.4,506.7
2019,III,207.9,330.8,177.6,16.1,732.5
2019,IV,106.4,206.2,114.7,9.8,437.1
2020,I,81.1,143.4,66.4,3.6,294.6
2020,II,2.2,11.4,6.2,0,19.9
2020,III,3.4,14.4,7.7,0.1,25.6
2020,IV,3.2,15.3,8.2,0.1,26.9
2021,I,4.7,17.1,8.2,0.1,30
2021,II,19.7,45.4,21.9,1.2,88.1
2021,III,59,101.5,46.9,3,210.4
2021,IV,34.5,72.8,35.9,2.6,145.8
2022,I,39.5,72.7,30.1,1.5,143.8
2022,II,62.9,123.6,62.9,5.6,255.1
2022,III,147.2,252.1,123.2,10.5,532.9
2022,IV,108.6,180.3,81.1,6.7,376.7
2023,I,80.6,146.2,60.3,4,291.1
2023,II,106.6,192.9,95.1,8.8,403.4
2023,III,179.2,303.6,155.5,14.4,652.6
2023,IV,92,176.7,88.7,8.1,365.5
2024,I,86.7,158.7,69,4.9,319.3
2024,II,106.3,199.7,108,11.5,425.4
2024,III,176.7,310.8,167.2,17,671.7
2024,IV,92.3,184.4,100.8,10.5,387.9
2025,I,88.1,157.8,71.7,5.9,323.5
