Year,Quarter,Number of visits
2014,III,581
2014,IV,389.9
2015,I,318.8
2015,II,395.1
2015,III,630.6
2015,IV,407.5
2016,I,329.6
2016,II,419.9
2016,III,639.6
2016,IV,408.4
2017,I,367.2
2017,II,491.5
2017,III,808.6
2017,IV,493.6
2018,I,439.7
2018,II,559.5
2018,III,883.2
2018,IV,518.7
2019,I,444.5
2019,II,632
2019,III,917.7
2019,IV,581
2020,I,373.5
2020,II,36.2
2020,III,46.7
2020,IV,48.1
2021,I,43.4
2021,II,111.3
2021,III,241.4
2021,IV,177.7
2022,I,172.4
2022,II,307.4
2022,III,633.3
2022,IV,454.8
2023,I,355.2
2023,II,487.9
2023,III,766.2
2023,IV,447.8
2024,I,385.8
2024,II,510.2
2024,III,785.2
2024,IV,470.8
2025,I,390.8
