Year,Quarter,Very satisfied,Satisfied,"Neither satisfied, nor dissatisfied",Dissatisfied,Very Dissatisfied,I don't know/hard to answer,Total
2014,III,351.8,192.6,22.1,4.1,1.4,8.9,581
2014,IV,243,126.3,13.7,2.7,1.9,2.3,389.9
2015,I,181,116.8,13.1,2.9,1.4,3.6,318.8
2015,II,206.1,135.8,37.9,6.4,7.1,1.7,395.1
2015,III,344.9,221.9,46.9,9.2,4.5,3.2,630.6
2015,IV,208.4,153,32.2,6.8,4.3,2.8,407.5
2016,I,181.9,105.7,32.2,6.2,2.6,1.2,329.6
2016,II,222.6,139.5,44.4,5.8,4.7,2.9,419.9
2016,III,368.3,212.4,46,7.3,3.1,2.5,639.6
2016,IV,219.8,142.8,37.7,3.4,1.9,2.7,408.4
2017,I,191.4,122.8,42.5,5.2,2.5,2.8,367.2
2017,II,256.9,184,40.5,4.3,5.1,0.7,491.5
2017,III,450.8,283.7,60,6.3,6.8,1,808.6
2017,IV,267.6,162.4,50.4,6.2,3.1,3.9,493.6
2018,I,226.9,155.2,40.8,4.1,4.5,8.1,439.7
2018,II,311.6,180.4,42.4,4.9,3.3,16.9,559.5
2018,III,488.5,291.3,77.4,9.1,7.3,9.7,883.2
2018,IV,267.7,190.8,51.1,5,2,2.1,518.7
2019,I,242.8,157.4,34.6,2.3,4.8,2.7,444.5
2019,II,370.9,196,50,4.8,8.9,1.5,632
2019,III,492.1,343.6,66.2,7.4,7,1.4,917.7
2019,IV,273.1,262.7,32,7.5,4.8,0.9,581
2020,I,179.8,167.7,21.9,2.6,1.5,0,373.5
2022,I,95.4,61.7,12,1.6,1,0.7,172.4
2022,II,181,101.8,20,2.2,1.2,1.2,307.4
2022,III,364.7,222.4,36.1,4.2,4.3,1.5,633.3
2022,IV,255,164.1,29.7,4.1,1.3,0.7,454.8
2023,I,174.2,156,19.5,3,2.1,0.5,355.2
2023,II,255.9,196.7,28,4.3,1.7,1.4,487.9
2023,III,425.4,287.9,43.1,6.4,2.9,0.5,766.2
2023,IV,248.1,171.6,21.5,3.8,2.4,0.3,447.8
2024,I,189.3,171.5,18.2,2.6,1.6,2.6,385.8
2024,II,277.2,196,30.5,4.7,1,0.8,510.2
2024,III,428.5,310.7,36.4,5.4,3.1,1.2,785.2
2024,IV,248.7,192.5,22.6,1.5,0.8,4.8,470.8
2025,I,196.8,171.8,20.2,0.6,0.5,1,390.8
